248,B.B.King,The Thrill is Gone,Blues
250,Mamie Smith,Crazy Blues,Blues
251,Robert Johnson,Hellhound On My Trail,Blues
252,T-Bone Walker,Stormy Monday,Blues
253,Antonio Vivaldi,Four Seasons,Classical
254,Bach,Brandenburg Concerto 3,Classical
255,Beethoven,Symphony 5,Classical
256,Franz Schubert,Trout Quintet,Classical
257,George Gershwin,Rhapsody in Blue,Classical
258,Charlie Daniels Band,The Devil Went Down to Georgia,Country
259,Hank Williams,Im So Lonesome I Could Cry,Country
260,Johnny Cash,I Walk the Line,Country
261,Tammy Wynette,Stand By Your Man,Country
262,The Statler Brothers,Flowers On The Wall,Country
263,Bee Gees,Stayin Alive,Disco
264,Chic,Good Times,Disco
265,Gloria Gaynor,I Will Survive,Disco
266,Lipps Inc,Funkytown,Disco
267,Village People,YMCA,Disco
268,2Pac,Dear Mama,Hip Hop
269,Coolio,Gangsta Paradise,Hip Hop
270,Notorious B.I.G.,Hypnotize,Hip Hop
271,Run DMC,Its Like That,Hip Hop
272,Sugarhill Gang,Rappers Delight,Hip Hop
273,Art Blakey and The Jazz Messengers,Moanin,Jazz
274,John Coltrane,Giant Steps,Jazz
275,Louis Armstrong,Potato Head Blues,Jazz
276,Miles Davis,So What,Jazz
277,Thelonious Monk,Straight No Chaser,Jazz
278,Amon Amarth,Pursuit Of Vikings,Metal
279,Hypocrisy,Apocalypse,Metal
280,Iron Maiden,The Trooper,Metal
281,Metallica,Master Of Puppets,Metal
282,Pantera,Cemetery Gates,Metal
283,ABBA,Dancing Queen,Pop
284,Britney Spears,Toxic,Pop
285,Lady GaGa,Paparazzi,Pop
286,Madonna,Like A Prayer,Pop
287,Michael Jackson,Billie Jean,Pop
288,Bob Marley,I Shot The Sheriff,Reggae
289,Bob Marley,No Woman No Cry,Reggae
290,Desmond Dekker,Israelites,Reggae
291,The Abyssinians,Satta Massagana,Reggae
292,Toots And The Maytals,Pressure Drop,Reggae
293,AC-DC,You Shook Me All Night Long,Rock
294,Deep Purple,Highway Star,Rock
295,Dire Straits,Sultans of Swing,Rock
296,Jimi Hendrix,Purple Haze,Rock
297,The Animals,House of the Rising Sun,Rock
249,Led Zeppelin,I Can't Quit You Baby,Blues
691,Die Atzen Frauenarzt and Manny Marc,Disco Pogo,Disco
707,Nickelback,If Today Was Your Last Day (Album Version),Rock
729,Bushido,Alles wird gut - Album Version,Hip Hop
674,Ke$ha,TiK ToK,Disco
745,Frauenarzt and Manny Marc,Das Geht Ab (Wir Feiern Die Ganze Nacht),Disco
675,Keri Hilson,I Like - Jost and Grubert,Pop
676,STROMAE,Alors On Danse,Pop
677,Owl City,Fireflies - Album Version,Pop
678,Cheryl Cole,Fight For This Love,Pop
680,Lady GaGa,Bad Romance,Pop
681,Amy Macdonald,Dont Tell Me That Its Over,Pop
682,Unheilig,Geboren um zu leben,Pop
683,Aura Dione,I Will Love You Monday (3JazzHip Hop),Pop
684,Stanfour,Wishing You Well - Radio Version,Pop
685,OneRepublic,All The Right Moves,Pop
686,Culcha Candela,Monsta,Pop
687,Timbaland,If We Ever Meet Again (Featuring Katy Perry),Pop
688,Black Eyed Peas,I Gotta Feeling - Album Version,Pop
689,Gossip,Heavy Cross - Album Version,Pop
690,Rihanna,Rude Boy - Album Version,Pop
692,Rihanna,Rude Boy - Explicit Version,Pop
693,Revolverheld,Spinner,Pop
694,David Guetta - Kid Cudi,Memories (Featuring Kid Cudi),Pop
695,Jason Derulo,Whatcha Say - Main Version,Pop
696,Black Eyed Peas,Meet Me Halfway - Album Version,Pop
697,Alexandra Burke Feat. Flo Rida,Bad Boys,Pop
698,Ich + Ich,Einer von Zweien,Pop
700,Muse,Undisclosed Desires - Album Version,Pop
701,Culcha Candela,Eiskalt,Pop
702,Melanie Fiona,Monday Morning - Album Version,Pop
679,Iyaz,Replay (Album Version),Pop
699,Timbaland,Morning After Dark (Featuring Nelly Furtado),Pop
703,Ich + Ich,Pflaster,Pop
704,Rihanna,Russian Roulette - Album Version,Pop
705,Black Eyed Peas,Rock That Body - Album Version,Pop
706,Train,Hey,Pop
709,Agnes,Release Me,Pop
710,Calderone Inc.,This Is My Time (Club Edit),Pop
712,Robbie Williams,Morning Sun,Pop
715,OneRepublic,Secrets,Pop
716,Xavier Naidoo,Halte durch,Pop
719,Lisa Mitchell,Neopolitan Dreams,Pop
720,Helping Haiti,Everybody Hurts,Pop
721,Silbermond,Krieger des Lichts - Single Version,Pop
722,Bryan Adams,One World One Flame,Pop
723,Alicia Keys,Try Sleeping With A Broken Heart,Pop
724,Jan Delay,Hoffnung,Pop
725,Lady GaGa,Bad Romance - Radio Edit,Pop
726,P!nk,Bad Influence - Main Version,Pop
708,Gigi Dagostino,Moonlight Shadow,Disco
711,Sivana,Feels Like Im Dancin (Original Mix),Disco
713,David Guetta - Akon,Sexy Bitch (Featuring Akon),Pop
717,Timbaland,If We Ever Meet Again - International Radio,Pop
727,Xavier Naidoo mit Janet Grogan,Alles kann besser werde,Pop
718,Paul and Fritz Kalkbrenner,Sky And Sand,Pop
728,Jurgen Drews,Ich bau dir ein Schloss - Wolken Mix,Pop
714,Jay-Z,Empire State Of Mind [Jay-Z + Alicia Keys],Hip Hop
730,Sportfreunde Stiller,Lass mich nie mehr los - Studio Version,Pop
731,Wencke Myhre,Eingeliebt - ausgeliebt,Pop
733,Herbert Gr&ouml,nemeyer,Pop
734,Unheilig,Mein Stern,Pop
735,Topmodelz,Time to Wonder (Club Mix),Pop
736,Alexandra Burke,Hallelujah,Pop
737,Ich + Ich,Einer von Zweien - Radio Version,Pop
739,David Guetta - Estelle,One Love (Featuring Estelle),Pop
740,Fady Maalouf,Into The Light,Pop
741,Ke$ha featuring 3OH!3,Blah Blah Blah,Pop
743,Avril Lavigne,Alice,Pop
744,Marit Larsen,If A Song Could Get Me You,Pop
746,Kate Nash,Foundations - Full Explicit Version,Pop
747,Jan Delay,Hoffnung - Single Version,Pop
748,Giovanni,I Cant Dance Alone [feat. Ross Antony],Pop
750,Eric Chase,If You Tolerate This (Club Mix),Pop
751,Florence + The Machine,Youve Got The Love,Pop
753,Shakira,Gypsy - Album Version,Pop
755,Unheilig,An deiner Seite,Pop
757,Livingston,Go - Single Version,Pop
749,Goldfrapp,Rocket,Disco
732,Unheilig,Fur immer,Pop
738,Nena,Du bist so gut fur mich (Radio Edit),Pop
742,Jason Derulo,In My Head (Album Version),Pop
752,Sean Paul,Hold My Hand (Original Version),Pop
754,Jay-Z,Young Forever [Jay-Z + Mr Hudson],Pop
756,Three 6 Mafia vs. Tiesto with Sean Kingston,Feel It,Disco
759,Fettes Brot,Jein (Radio Edit),Pop
761,Lady GaGa,Paparazzi,Pop
760,Bon Jovi,Superman Tonight - Album Version,Rock
762,DJ Gollum vs. Basslovers United,Narcotic,Disco
758,Dominik Buchele,Closer To Heaven,Pop